FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MULTI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,POLYID
37027031000,Hickory,3245,619,463,3133,38,5,14,32,1652,1593,1132,1031,1638,1621,17,1053,568,1667,926,741,480,191,5,34762,3221,261,84100,0
37027031100,Hickory,4678,971,618,4409,180,20,50,19,2324,2354,1576,1513,2349,2329,20,1634,695,2383,1342,1041,668,290,15,33906,4672,450,80400,1
37027030900,Hickory,5045,1017,570,4833,212,0,0,0,2636,2409,1821,1637,2583,2534,49,1808,726,2667,1467,1200,907,223,0,32151,4985,712,68600,2
37003040100,Hickory,3311,749,398,3152,66,7,78,8,1689,1622,1136,1028,1855,1780,75,1248,532,1896,1108,788,607,96,10,38343,3311,364,70000,3
37003040200,Hickory,3885,790,496,3672,113,10,0,71,1959,1926,1330,1269,2078,2047,31,1162,885,2096,1122,974,679,192,14,37625,3880,256,83500,4
37027031200,Hickory,8637,1896,875,8550,2,0,26,48,4380,4257,2982,2884,4560,4461,99,3087,1374,4701,2616,2085,1436,466,33,37988,8625,832,80600,5
37023020201,Hickory,5420,1114,643,4604,644,35,55,64,2776,2644,1859,1804,2689,2660,29,1872,788,2735,1476,1259,518,345,15,37226,5367,487,79100,6
37027030200,Hickory,5271,1117,793,4455,607,7,166,29,2652,2619,1753,1608,2368,2353,15,1870,483,2393,1418,975,820,158,35,27367,5128,641,57400,7
37003040400,Hickory,6069,1214,1053,4812,927,59,211,57,2950,3119,1889,1913,2969,2891,78,2015,876,2996,1696,1300,860,254,0,32406,5847,754,78100,8
37027030500,Hickory,4447,833,922,4198,146,13,40,36,2075,2372,1290,1402,2155,2143,12,1671,472,2202,1118,1084,280,498,12,48608,4322,207,105300,9
37003040500,Hickory,6555,1466,642,5950,280,0,251,74,3312,3243,2276,2171,3541,3455,86,2559,896,3586,1882,1704,1067,239,10,37237,6501,543,74900,10
37027030100,Hickory,5948,1457,1093,3513,1949,8,410,42,2719,3229,1614,1784,2371,2296,75,2051,245,2421,1260,1161,901,300,0,24849,5889,1280,63700,11
37003040300,Hickory,3128,696,299,2950,133,7,0,30,1581,1547,1108,1025,1768,1717,51,1127,590,1801,1001,800,657,160,13,37938,3128,207,78100,12
37027030300,Hickory,4198,770,658,3129,928,33,72,36,2173,2025,1452,1318,1987,1935,52,1594,341,2021,1066,955,678,182,16,32129,4082,395,75600,13
37027030400,Hickory,4586,854,819,4147,110,30,238,44,2294,2292,1536,1377,2177,2164,13,1748,416,2215,1302,913,744,203,16,29175,4269,686,71400,14
37003040600,Hickory,4762,1116,484,4452,42,117,118,30,2378,2384,1606,1556,2657,2625,32,1837,788,2675,1402,1273,855,315,12,41610,4762,421,83800,15
37027030600,Hickory,3474,697,516,3338,0,58,33,29,1681,1793,1113,1148,1781,1739,42,1445,294,1840,959,881,428,246,8,39318,3457,288,84400,16
37023020100,Hickory,4435,1056,395,3660,329,149,157,117,2209,2226,1506,1478,2139,2107,32,1530,577,2154,1169,985,728,211,19,34018,4412,667,64500,17
37027031300,Hickory,6152,1421,515,5986,73,31,26,6,2993,3159,2045,2171,3445,3395,50,2916,479,3422,1781,1641,651,575,10,48681,6152,596,113000,18
37027030800,Hickory,6669,1469,606,6482,40,0,110,35,3307,3362,2233,2361,3610,3560,50,2812,748,3692,1938,1754,1252,410,29,38512,6614,676,76900,19
37003040700,Hickory,5893,1263,604,5655,22,145,57,14,2885,3008,1990,2036,3131,3031,100,2354,677,3173,1714,1459,690,494,22,46974,5853,276,106000,20
37027030700,Hickory,6651,1357,717,6395,59,5,143,22,3220,3431,2234,2343,3663,3542,121,2704,838,3733,1987,1746,1067,416,21,35141,6614,594,84900,21
37027031400,Hickory,8414,1770,1231,7873,122,2,403,2,4124,4290,2772,2641,4283,4227,56,3291,936,4449,2491,1958,1431,508,43,36810,8184,543,86100,22
37035010101,Hickory,5434,1240,477,5074,52,153,43,72,2715,2719,1851,1866,3049,3016,33,2552,464,3103,1625,1478,893,466,28,47716,5434,338,91200,23
37023020202,Hickory,4210,993,550,3373,460,145,166,44,2093,2117,1347,1320,2000,1954,46,1490,464,2019,1090,929,370,392,25,43042,4194,413,93600,24
37035010201,Hickory,4436,1137,315,3694,152,281,184,114,2236,2200,1530,1454,2312,2305,7,1872,433,2353,1307,1046,719,252,29,44063,4436,403,84700,25
37035010301,Hickory,4385,1043,337,3806,157,9,363,50,2219,2166,1515,1490,2345,2323,22,1858,465,2397,1353,1044,689,371,8,42694,4370,299,107800,26
37035010302,Hickory,5111,1119,626,4780,69,206,29,14,2523,2588,1701,1665,2843,2783,60,2349,434,2852,1518,1334,326,659,46,54563,5111,336,141800,27
37035010500,Hickory,6408,1313,1103,5832,181,122,215,38,3057,3351,1977,2015,3146,3043,103,2644,399,3174,1815,1359,268,929,30,57029,6198,222,201800,28
37023020801,Hickory,5607,1258,837,4638,318,396,116,132,2688,2919,1742,1770,2818,2762,56,2287,475,2857,1494,1363,690,380,27,38424,5489,437,78800,29
37023021000,Hickory,5735,1405,634,5444,26,148,13,81,2807,2928,1826,1870,2819,2761,58,2138,623,2895,1522,1373,868,212,12,37052,5710,346,73000,30
37035010202,Hickory,6717,1580,744,5320,771,99,501,0,3235,3482,2163,2230,3647,3601,46,3023,578,3678,1922,1756,1081,383,6,40932,6644,727,92500,31
37023020900,Hickory,7205,1562,1351,6613,77,223,190,92,3310,3895,2041,2251,3299,3247,52,2698,549,3376,1761,1615,794,443,13,32376,6992,644,80400,32
37023020500,Hickory,3164,658,664,2298,475,7,344,9,1386,1778,863,979,1379,1348,31,1118,230,1423,753,670,227,284,0,37750,3110,349,103600,33
37023020600,Hickory,5961,1126,1160,4073,846,17,973,20,2986,2975,1994,1681,2653,2606,47,1991,615,2716,1538,1178,548,391,50,34341,5663,823,76100,34
37035010401,Hickory,6272,1124,922,5251,368,239,324,83,2962,3310,2029,2197,3512,3474,38,3021,453,3546,1897,1649,646,835,35,38300,6171,385,100900,35
37023021100,Hickory,5748,1183,786,5273,59,158,75,116,2851,2897,1900,1879,2947,2917,30,2381,536,3004,1643,1361,981,265,14,35975,5724,576,73000,36
37035010303,Hickory,4210,869,452,3421,4,137,603,17,2189,2021,1512,1377,2368,2331,37,2011,320,2372,1352,1020,663,297,7,41833,4200,254,94400,37
37035010600,Hickory,6231,1430,887,4972,539,172,457,15,2916,3315,1875,2039,3171,3090,81,2708,382,3213,1722,1491,575,667,27,39491,6209,951,116200,38
37035010402,Hickory,4995,766,619,3137,672,197,828,155,2523,2472,1891,1719,2636,2629,7,2437,192,2717,1501,1216,656,307,0,30052,4356,590,83700,39
37023020301,Hickory,4767,1164,600,3605,511,455,139,17,2366,2401,1513,1490,2055,2023,32,1591,432,2148,1162,986,673,161,9,31422,4651,478,72300,40
37035010304,Hickory,4024,1010,507,2976,197,333,504,14,1899,2125,1299,1208,1946,1930,16,1628,302,1956,1037,919,580,186,26,33839,3841,357,79800,41
37023020802,Hickory,3448,592,612,3211,55,142,27,0,1631,1817,1084,1160,1787,1725,62,1454,271,1820,952,868,440,358,18,40366,3329,161,88300,42
37023020400,Hickory,4209,844,738,2917,572,92,558,47,2105,2104,1378,1249,2037,2005,32,1692,313,2073,1155,918,486,331,24,30250,4058,585,88300,43
37035010102,Hickory,3475,618,567,3213,93,24,108,26,1653,1822,1098,1192,1800,1780,20,1584,196,1825,976,849,339,337,28,40000,3472,341,114100,44
37035011000,Hickory,2966,699,538,1819,695,80,236,100,1389,1577,884,845,1137,1127,10,995,132,1163,629,534,395,79,8,27344,2770,474,63100,45
37023020700,Hickory,1038,140,168,738,165,102,26,7,554,484,395,335,281,272,9,252,20,281,127,154,57,53,8,26324,526,82,70800,46
37023021202,Hickory,4239,976,399,4016,0,190,7,26,2105,2134,1428,1436,2081,2057,24,1625,432,2146,1163,983,647,163,21,32549,4217,381,59900,47
37035010800,Hickory,407,52,42,332,27,0,48,0,279,128,197,116,287,287,0,272,15,287,194,93,8,58,0,31563,407,17,165800,48
37023021201,Hickory,3814,819,480,3546,5,39,127,87,1982,1832,1286,1229,1950,1933,17,1560,373,1986,1077,909,330,282,0,37346,3814,466,78800,49
37035010700,Hickory,2744,629,401,2008,235,229,254,12,1325,1419,864,850,1267,1267,0,1055,212,1307,700,607,457,111,6,25960,2739,559,59300,50
37035010900,Hickory,4364,1119,536,1157,2475,190,475,32,2007,2357,1276,1433,1744,1705,39,1466,239,1786,839,947,573,127,5,25642,4325,1055,66600,51
37035011101,Hickory,3334,708,521,2741,499,0,44,50,1536,1798,967,1138,1693,1669,24,1492,177,1704,760,944,315,230,18,39375,3329,199,90800,52
37035011501,Hickory,4423,969,492,3862,294,69,180,18,2243,2180,1531,1431,2204,2152,52,1278,874,2275,1332,943,599,251,22,40330,4421,353,85700,53
37035011400,Hickory,7228,1607,1031,6258,592,116,209,53,3611,3617,2370,2220,3738,3694,44,2801,893,3750,1988,1762,1148,371,28,41892,7211,579,84700,54
37023020302,Hickory,6702,1626,552,6103,64,436,21,34,3334,3368,2221,2303,3420,3395,25,2513,882,3539,1841,1698,935,395,40,36405,6690,843,78400,55
37023021301,Hickory,6018,847,677,4609,1053,202,56,58,3796,2222,3089,1405,2061,2018,43,1730,288,2094,1133,961,500,222,47,33673,4191,417,77200,56
37035011502,Hickory,6477,1199,758,6104,235,0,122,0,3307,3170,2327,2193,3427,3350,77,1599,1751,3530,2017,1513,570,638,30,47652,6477,416,137500,57
37035011102,Hickory,5544,1227,538,5037,141,234,40,80,2742,2802,1893,1886,3063,3004,59,2593,411,3132,1691,1441,607,637,33,45149,5526,340,102100,58
37035011300,Hickory,6895,1638,835,4825,983,377,612,37,3339,3556,2205,2217,3447,3405,42,2888,517,3503,1837,1666,1257,332,35,34881,6876,1031,76300,59
37035011701,Hickory,3765,810,520,3259,195,55,200,33,1944,1821,1312,1123,2032,1971,61,1665,306,2061,1195,866,382,348,0,41848,3755,194,125400,60
37035011200,Hickory,5853,1150,935,4520,651,59,605,18,2884,2969,1942,1826,3125,3087,38,2574,513,3201,1737,1464,940,343,24,39477,5838,518,89100,61
37023021203,Hickory,4017,958,321,3714,198,69,0,36,2038,1979,1405,1333,2056,1973,83,1209,764,2158,1134,1024,578,264,0,38179,4003,555,71800,62
37023021302,Hickory,3411,763,358,3359,0,0,0,25,1651,1760,1122,1168,1743,1724,19,1205,519,1770,878,892,387,117,0,34400,3398,422,68700,63
37035011801,Hickory,5134,1291,409,4682,223,86,75,61,2546,2588,1713,1721,2870,2811,59,2377,434,2889,1532,1357,639,538,54,50701,5134,274,95200,64
37035011802,Hickory,5452,1228,610,4960,356,23,37,0,2733,2719,1812,1802,2856,2790,66,1745,1045,2940,1577,1363,880,336,20,36860,5452,448,89100,65
37035011702,Hickory,6472,1430,624,5564,494,42,209,118,3280,3192,2248,2170,3536,3447,89,2679,768,3599,1954,1645,863,456,45,42379,6449,380,90800,66
37035011600,Hickory,8929,1892,957,7979,357,242,307,17,4611,4318,3217,2863,4783,4641,142,3275,1366,4879,2604,2275,1421,476,21,42138,8562,648,90100,67
