STATION,MAXDAY,AV8TOP,MONITOR,LAT,LON,X_COORD,Y_COORD
60,16,7.225806,70060,34.135833,-117.923611,414841.15156,3777602.22613
69,14,5.899194,70069,34.176111,-118.315278,378784.20384,3782464.73116
72,9,4.052885,70072,33.823611,-118.187500,390107.78546,3743232.55025
74,13,7.181452,70074,34.199444,-118.534722,358597.56681,3785334.90238
75,13,6.076613,70075,34.066944,-117.751389,430664.58852,3769833.31625
84,8,3.157258,70084,33.929167,-118.209722,388188.99721,3754961.10225
85,11,5.201613,70085,34.015000,-118.059722,402152.07078,3764325.38329
87,11,4.717742,70087,34.067222,-118.226389,386831.67930,3770287.97055
88,15,6.532258,70088,34.083333,-118.106944,397873.66898,3771948.72939
89,15,7.540323,70089,34.387500,-118.534722,358912.38804,3806189.93125
91,10,4.891129,70091,34.050833,-118.454167,365785.45562,3768746.04584
94,10,4.149194,70094,33.923570,-118.370850,373287.11000,3754527.69940
96,13,7.266129,70096,34.690120,-118.133400,396184.57964,3839263.87298
3176,9,4.100806,30176,33.820278,-117.912500,415554.18186,3742603.34631
3177,10,4.737903,30177,33.926111,-117.951389,412063.75366,3754370.86098
3186,11,4.600806,30186,33.627500,-117.690278,435976.82084,3721068.74998
3195,8,4.358871,30195,33.675110,-117.926900,414076.84213,3726519.16098
4137,13,8.241935,33137,33.850000,-116.543056,542271.98615,3745618.37243
4144,17,8.794355,33144,34.010278,-117.426389,460628.50605,3763377.52681
4149,15,8.899194,33149,33.708333,-117.243056,477477.85615,3729843.79719
4150,14,7.161290,33150,33.925000,-116.876389,511425.23381,3753847.05548
4157,13,8.133065,33157,33.714555,-116.233894,570984.81075,3730770.55966
4158,13,7.858871,33158,33.674010,-117.321140,470230.55023,3726058.06911
4162,17,9.762097,33162,33.975620,-117.332630,469273.50237,3759502.62084
5175,16,8.149194,36175,34.103611,-117.629167,441967.99330,3773822.91173
5181,22,11.649194,36181,34.243889,-117.273611,474805.02309,3789232.29608
5197,17,8.604839,36197,34.099444,-117.504167,453495.37064,3773296.93056
5203,20,9.947581,36203,34.107222,-117.273611,474764.37263,3774078.43207
5204,19,10.274194,36204,34.066667,-117.151389,486030.47909,3769558.26043
5212,17,8.524194,36512,33.984600,-117.512733,452641.43687,3760566.90761
5213,9,4.447917,36513,34.262276,-117.188543,482642.14593,3791253.32080
591,18,8.241935,70591,34.143889,-117.851389,421507.81044,3778437.62872
